ORGANIZACION,Comentario,Comentario Sin tratar,Etiqueta,Analyzer
seraj,organizacion estructurada todas actividades cumplidas tiempo forma ademas personal amable siempre buena disposicion resolver dudas apoyar,es una organizacion muy estructurada y todas las actividades son cumplidas en tiempo y forma ademas el personal es muy amable y siempre tiene buena disposicion para resolver dudas y apoyar ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.687, NEU: 0.301, NEG: 0.012})"
mercadiez,mejorar comunicacion empresa practicantes estan modo virtual,mejorar la comunicacion entre la empresa y los practicantes que estan en modo virtual,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.889, POS: 0.068, NEG: 0.043})"
amad,disfrute practicas embargo lugar excesivamente lejos hacia menos minutos llegar minutos regreso gustado mayor seguimiento parte amad pesar haber aprendido mas cuenta ademas senti apreciaba esfuerzos suponia atender min viaje diarios trasporte aprox h practicas incluso solicitaba mas,disfrute mucho las practicas sin embargo el lugar estaba excesivamente lejos me hacia al menos  minutos para llegar y  minutos de regreso me hubiera gustado un mayor seguimiento por parte de amad porque a pesar de haber aprendido mucho fue mas por mi cuenta ademas senti que no se apreciaba los esfuerzos que suponia atender  min de viaje  diarios en trasporte aprox  h de practicas e incluso se me solicitaba mas,neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.725, POS: 0.155, NEG: 0.120})"
nutriologa sandra andrea nava,organizacion recomiendo programa llama siendo profesional ayuda ser profesional absoluto solicite ayuda ocasiones recibi considero organizacion apta practicas profesionales,esta organizacion no la recomiendo para nada su programa se llama siendo un profesional pero no te ayuda a ser un profesional en lo absoluto le solicite ayuda en ocasiones y no la recibi considero que esta organizacion no es apta para practicas profesionales ,negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.749, POS: 0.231, NEG: 0.019})"
alina nutrisport,buena organizacion recomiendo hagan practicas profesion,muy buena organizacion la recomiendo para que hagan sus practicas en la profesion ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.852, NEU: 0.142, NEG: 0.006})"
desarrollo de una propuesta de intervencion en psicologia clinica,bien,todo bien,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.476, POS: 0.294, NEG: 0.230})"
distribuidora junior,ninguno,"
ninguno",positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.498, NEG: 0.298, POS: 0.205})"
corona net,organizacion buena gente amable embargo colaborar proyecto ver licenciatura haber realizado practicas alli aporto desarrollo profesional udlap trabajar mejorar oferta practicas profesionales pues definitivamente ambito universidades estan delante gran desventaja hora solicitar trabajo,la organizacion es buena y la gente muy amable sin embargo colaborar en este proyecto no tiene nada que ver con mi licenciatura y el haber realizado mis practicas alli aporto muy poco a mi desarrollo profesional la udlap tiene que trabajar mucho en mejorar su oferta de practicas profesionales pues definitivamente es un ambito en el que otras universidades estan muy por delante de nosotros y eso es una gran desventaja a la hora de solicitar trabajo,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.596, POS: 0.375, NEG: 0.029})"
la efectividad de la figura del decomiso en america latina,aprendi varias habilidades investigadora trabajar lado investigadora,aprendi varias habilidades como investigadora al trabajar al lado de una investigadora ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.558, POS: 0.416, NEG: 0.027})"
dif tlaxcala proyecto educacion financiera,proyecto interno bien cumple estipula principio practica funcional estudiante banca inversiones sugiero mas actividades presenciales involucren inteligencia emocional tantos proyectos investigacion acostumbrados empezamos carrera,como proyecto interno esta bien cumple con lo que se estipula al principio pero en la practica no es muy funcional para un estudiante de banca e inversiones sugiero que hayan mas actividades presenciales que involucren inteligencia emocional no tantos proyectos de investigacion a los que ya estamos acostumbrados desde que empezamos la carrera ,negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.528, POS: 0.454, NEG: 0.018})"
latitud ,confundicon fecha mayo unico cambiaria seria tener mas organizacion respecto horarios aprendi bastante,"me confundicon la fecha era mayo
lo unico que cambiaria seria tener mas organizacion respecto a los horarios fuera de eso aprendi bastante ",positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.847, POS: 0.087, NEG: 0.066})"
benemerita universidad autonoma de puebla instituto de ciencias  centro de investigaciones en ciencias microbiologicas,unas practicas profesion ver vi carrera dio oportunidad inclinarme rama interesa carrera vio dirigente proyecto persona amable abierta temas,fueron unas practicas en la profesion que no tuvieron mucho que ver en lo que vi en la carrera pero que me dio la oportunidad de inclinarme a la rama que me interesa en mi carrera ya que se vio muy poco durante esta el dirigente de proyecto es una persona muy amable y abierta a temas ,neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.851, POS: 0.127, NEG: 0.022})"
agencia de energia del estado de puebla,principio senti comoda primeras practicas profesionales posteriormente cambiaron supervisor cambio dinamica siento trabaje debia sentia tan productiva senti habia seguimiento tal haber oferta trabajo despues retiro,al principio me senti muy comoda durante mis primeras practicas profesionales posteriormente me cambiaron mi supervisor y cambio mucho la dinamica siento que no trabaje como debia no me sentia ya tan productiva senti que no habia un seguimiento como tal y de haber una oferta de trabajo despues se retiro,neutral,"AnalyzerOutput(output=POS, probas={POS: 0.628, NEU: 0.357, NEG: 0.016})"
proyecto interno examinacion del acceso al tratamiento de enfermedades cronicas en mexico usando herramientas de aprendizaje de maquina,gustando creo aprendido cosas nuevas trabajar equipo,me esta gustando mucho creo que he aprendido cosas nuevas y a trabajar en equipo,positive,"AnalyzerOutput(output=POS, probas={POS: 0.937, NEU: 0.059, NEG: 0.004})"
benemerita universidad autonoma de puebla instituto de ciencias  centro de quimica,solo manejamos gaussian nadie entendio proyecto realmente caso nunca entendi servia gaussian ambito profesional,solo manejamos gaussian nadie entendio cual era el proyecto realmente y en mi caso nunca entendi para que nos servia gaussian en un ambito profesional ,negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.508, NEG: 0.482, POS: 0.011})"
jerarquizar la experiencia de represion estudiantil durante la guerra fria jovenes mexicanos en la international union of students ius ,realize proyecto interno,yo realize un proyecto interno ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.661, POS: 0.290, NEG: 0.050})"
gycsa,agradecido oportunidad empresa,muy agradecido por la oportunidad de estar con la empresa,positive,"AnalyzerOutput(output=POS, probas={POS: 0.597, NEU: 0.371, NEG: 0.033})"
distribuidora junior,siento ambiente laboral optimo pesado mismo modo areas trabajar mejores pues buena luz sillas adecuadas espacio tal comer trabajadores respeto pues marcaban altas horas noche mandaban mensajes horarios inapropiados despues hablarlo jefa busco solucion embargo cultura respeto perspectiva aspectos tomados estilo acoso,siento que el ambiente laboral no es el optimo  es muy pesado del mismo modo las areas para trabajar no son las mejores pues no hay buena luz ni sillas adecuadas ni espacio como tal para comer  los trabajadores no tienen el respeto pues me marcaban a altas horas de la noche me mandaban muchos mensajes en horarios inapropiados despues de hablarlo con mi jefa se busco solucion sin embargo no se tiene una cultura de respeto y desde mi perspectiva estos aspectos son tomados como un estilo de acoso ,neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.599, NEG: 0.366, POS: 0.035})"
artea financiera,buena condiciona carta termino practicas,muy buena pero condiciona la carta de termino de practicas ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.718, POS: 0.233, NEG: 0.048})"
oncocenter,motivos pandemia pude asistir presencial afecto,por motivos de pandemia no pude asistir presencial lo cual me afecto ,negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.631, NEG: 0.335, POS: 0.034})"
reemsa,meses participando dicha empresa perdida tiempo literalmente nunca hicimos dejaron realizar plano primer parcial sabia plano destinado unica actividad realizaria semestre ingenieros responsables nunca tomaron seriedad conlleva ser responsables estudiantes quieren aprender practicas profesionales pocas palabras hice perdi tiempo tampoco aprendi cero responsabilidad cero seriedad empresa deseo departamento responsable parte universidad haga respecto prestigio caracteriza institucion puedo entender puede trabajar empresas asi,los meses que estuve participando en dicha empresa fueron una perdida de tiempo literalmente nunca hicimos nada dejaron realizar un plano para el primer parcial lo que no sabia era que ese plano estaba destinado a la unica actividad que se realizaria durante todo el semestre los ingenieros responsables nunca se tomaron la seriedad que conlleva ser responsables de estudiantes que quieren aprender en practicas profesionales en muy pocas palabras no hice nada perdi mi tiempo y tampoco aprendi nada cero responsabilidad cero seriedad como empresa deseo que el departamento responsable por parte de la universidad haga algo al respecto con el prestigio que caracteriza la institucion no puedo entender como puede trabajar con empresas asi,negative,"AnalyzerOutput(output=NEG, probas={NEG: 0.881, NEU: 0.113, POS: 0.006})"
seguridad nacional,proyecto interesante equipo trabajo excelente,es un proyecto muy interesante y el equipo de trabajo es excelente,positive,"AnalyzerOutput(output=POS, probas={POS: 0.970, NEU: 0.026, NEG: 0.004})"
grupo oro comunicaciones,buena organizacion poner practica conocimientos teoricos practicos licenciatura,una muy buena organizacion para poner en practica muchos de los conocimientos teoricos y practicos durante la licenciatura,positive,"AnalyzerOutput(output=POS, probas={POS: 0.783, NEU: 0.210, NEG: 0.007})"
proyecto interno efectos del teletrabajo en la intencion de rotacion de personal,buen profesor clase,buen profesor y clase,positive,"AnalyzerOutput(output=POS, probas={POS: 0.886, NEU: 0.101, NEG: 0.013})"
dif tlaxcala proyecto educacion financiera,orden,todo en orden,negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.504, NEG: 0.344, POS: 0.152})"
mexico evalua,gusto hacer practicas mexico evalua gran reto aprendi cosas nuevas respondi pregunta si habian brindado beneficios practicas totalmente linea,"me gusto hacer mis practicas en mexico evalua fue un gran reto y aprendi cosas nuevas

respondi no a la pregunta de si me habian brindado beneficios porque las practicas fueron totalmente en linea ",positive,"AnalyzerOutput(output=POS, probas={POS: 0.902, NEU: 0.093, NEG: 0.005})"
proyecto interno analisis del acceso a los sistemas de pensiones con base en informacion estadistica censal en los municipios de mexico,encantado participar organizacion,me hubiera encantado participar en una organizacion,neutral,"AnalyzerOutput(output=POS, probas={POS: 0.836, NEU: 0.157, NEG: 0.007})"
faurecia,agrado realizar practicas faurecia empresa excelente nivel mundial ambiente trabajador bueno siempre dio lugar practicante asi apoyo momento embargo gustado realizar actividades mas afines carrera siento muchas actividades mas relacionadas contaduria economia,me agrado mucho realizar mis practicas en faurecia ya que es una empresa excelente a nivel mundial el ambiente es muy trabajador y bueno siempre se me dio mi lugar como practicante asi como el apoyo en todo momento sin embargo me hubiera gustado realizar actividades mas afines a mi carrera ya que siento que muchas de mis actividades estaban mas relacionadas con la contaduria que con la economia,positive,"AnalyzerOutput(output=POS, probas={POS: 0.820, NEU: 0.172, NEG: 0.007})"
diagnostico organizacional y propuesta de cambio organizacional en un rancho aguacatero,excelente,todo excelente ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.478, POS: 0.319, NEG: 0.203})"
oneart,gran lugar realizar practicas ambiente bueno tambien adquieres conocimientos organizacion deberia considerar dar facilidades economicas gasolina comida,es un gran lugar para realizar practicas el ambiente es bueno y tambien adquieres conocimientos la organizacion deberia considerar dar algunas facilidades economicas como gasolina o comida ,neutral,"AnalyzerOutput(output=POS, probas={POS: 0.723, NEU: 0.264, NEG: 0.013})"
secretaria de economia de puebla,excelente practicas sugerencia hacen tramites papeles burocracia si pudiera hacer mas sencillo seria mejor,todo excelente en las practicas como sugerencia se me hacen muchos tramites y papeles y burocracia si se pudiera hacer mas sencillo seria mejor,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.571, NEG: 0.365, POS: 0.063})"
universidad autonoma de baja california,increibles personas,increibles personas ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.760, NEU: 0.196, NEG: 0.044})"
animex,excelente atencion oportunidad aprender mejorar,excelente atencion y oportunidad de aprender y mejorar ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.893, NEU: 0.101, NEG: 0.007})"
birth group,punto vista excelente organizacion realizar practicas buen ambiente trabajo orden proyectos apoyo companeros trabajo,desde mi punto de vista es una excelente organizacion para realizar practicas ya te tiene un muy buen ambiente de trabajo orden en sus proyectos y sobre todo apoyo entre los companeros de trabajo,positive,"AnalyzerOutput(output=POS, probas={POS: 0.904, NEU: 0.092, NEG: 0.004})"
base ,practicas profesion modalidad linea entonces siento beneficios enlistados realidad aplica dichos ofrecidos habia oportunidad recibirlos,mis practicas en la profesion fueron en modalidad en linea entonces siento que de los beneficios enlistados en realidad era un no aplica porque dichos no fueron ofrecidos o no habia oportunidad de recibirlos ,neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.749, POS: 0.231, NEG: 0.020})"
obed clemente arquitectos,ser remotas practicas comunicacion siempre mas adecuada cayendo incertidumbres ambas partes,al ser remotas las practicas la comunicacion no siempre fue la mas adecuada cayendo en incertidumbres por ambas partes ,neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.852, POS: 0.085, NEG: 0.064})"
comercializadora insdustrias de los angeles,organizacion excelente ambiente trabajo puedes encontrar mucha ayuda parte arquitectos ingenieros estructuristas incluso contadores trabajan aqui atentos amables desempenan bien trabajo feliz haber hecho practicas aqui,la organizacion tiene un excelente ambiente de trabajo puedes encontrar mucha ayuda por parte de los arquitectos ingenieros estructuristas yo incluso de los contadores que trabajan aqui todos son muy atentos amables y se desempenan muy bien en su trabajo estoy muy feliz de haber hecho mis practicas aqui ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.954, NEU: 0.043, NEG: 0.004})"
proyecto cafeina,organizacion proyecto cafeina organizacion aceptable capaz area embargo realizar practicas profesionales despacho espera relacion laboral directamente trabajo solo taller brindan datos informacion realizar proyecto tarea ver proyecto trabajos sugerencia seria despacho proyectos interesantes construcciones proceso seria mas enriquecedor experiencia acercamiento mas tipo laboral despacho quiza haciendo visitas obra hacer correcciones planos reducir carga trabajo hacer material ilustrativo requieran tareas manera tener contacto mas cercano quiza resulte final contratacion practicante despacho bueno sugerencia personal gustado mas unico saco experiencia suma proyecto mas portafolio,la organizacion proyecto cafeina es una organizacion aceptable y capaz en su area sin embargo para realizar las practicas profesionales con este despacho no es lo que se espera ya que no hay una relacion laboral directamente con su trabajo solo es un taller donde te brindan datos e informacion para realizar un proyecto o tarea que no tiene nada que ver con sus proyecto yo trabajos mi sugerencia seria ya que el despacho tiene proyectos interesantes y construcciones en proceso seria mas enriquecedor esta experiencia teniendo un acercamiento mas del tipo laboral con el despacho quiza haciendo visitas de obra hacer correcciones de planos para reducir un poco su carga de trabajo hacer material ilustrativo que requieran y entre otras tareas y de esta manera tener un contacto mas cercano con ellos y quiza resulte al final una contratacion del practicante con el despacho pero bueno esa es mi sugerencia en lo personal eso me hubiese gustado mas pero lo unico que saco que esta experiencia es la suma de un proyecto mas para mi portafolio,neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.666, POS: 0.319, NEG: 0.016})"
wall arquitectura,siento tomo cuenta organizacion manera gustado senti realmente trabajar campo laboral pude sentirlo unas clases mas gustado mas integracion mas presencial mas encargo cosas podrias hacer universidad personal siempre respetuoso hacia agradezco estancia agradable explicaron cosas desconocia si aprendizaje motivaciones ejemplo remuneracion economica surtido efecto distinto ambas partes,siento que no se me tomo en cuenta en la organizacion de la manera que me hubiera gustado no senti lo que es realmente trabajar en el campo laboral pude sentirlo como unas clases mas me hubiera gustado mas integracion mas presencial mas encargo de cosas que no podrias hacer en la universidad el personal siempre fue respetuoso hacia mi y eso lo agradezco la estancia fue agradable y me explicaron cosas que desconocia si hubo aprendizaje pero motivaciones como por ejemplo la remuneracion economica hubieran surtido un efecto muy distinto en ambas partes ,negative,"AnalyzerOutput(output=POS, probas={POS: 0.549, NEU: 0.438, NEG: 0.013})"
proyecto cafeina,buena empresa ambito desarrollo trabajo bueno entretenido,muy buena empresa el ambito en el que se desarrollo el trabajo es muy bueno y entretenido ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.944, NEU: 0.053, NEG: 0.003})"
valdez arquitectos,excelente organizacion ambiente laboral agradable siempre apoyaron respecto dudas iban surgiendo,una excelente organizacion el ambiente laboral es agradable y siempre me apoyaron con respecto a dudas que iban surgiendo,positive,"AnalyzerOutput(output=POS, probas={POS: 0.940, NEU: 0.055, NEG: 0.005})"
construcciones y avaluos de morelos,gustado mas iniciativa parte empresa,me hubiera gustado que hubiera mas iniciativa por parte de la empresa ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.639, POS: 0.338, NEG: 0.022})"
zva interiores y arquitectura,excelente despacho arquitectonico gran aprendizaje,excelente despacho arquitectonico y gran aprendizaje,positive,"AnalyzerOutput(output=POS, probas={POS: 0.969, NEU: 0.027, NEG: 0.004})"
coinca,gusto trabajar aprendi carrera generar obras,me gusto mucho trabajar con ellos porque aprendi mucho sobre mi carrera y a generar obras,positive,"AnalyzerOutput(output=POS, probas={POS: 0.951, NEU: 0.044, NEG: 0.005})"
remsa,ojala siga convenio organizacion escuela,ojala siga este convenio de la organizacion con la escuela ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.607, NEU: 0.361, NEG: 0.032})"
calmanani diseno y construccion,siempre retroalimentacion seguimiento entregas actividades siento satisfecha aprendido trabajado calmanani,siempre hubo retroalimentacion y seguimiento a las entregas y actividades me siento satisfecha con lo aprendido y trabajado en calmanani,positive,"AnalyzerOutput(output=POS, probas={POS: 0.891, NEU: 0.104, NEG: 0.005})"
nativitana interiorismo,aprendido muchisimo aportado ideas proyectos siento feliz,he aprendido muchisimo y he aportado ideas en algunos proyectos por lo cual me siento muy feliz,positive,"AnalyzerOutput(output=POS, probas={POS: 0.951, NEU: 0.043, NEG: 0.006})"
dos veintinueve taller de diseno,dos veintinueve empresa arquitectura interiorismo excelentes conocimientos cuales aprendiendo transcurso practicas aceptado continuar organizacion espero dar cien porciento conocimientos,dos veintinueve es una empresa de arquitectura e interiorismo con excelentes conocimientos con los cuales fui aprendiendo en el transcurso de mis practicas he aceptado continuar con la organizacion y espero dar el cien porciento de mis conocimientos,positive,"AnalyzerOutput(output=POS, probas={POS: 0.724, NEU: 0.268, NEG: 0.009})"
birth group,nunca tan feliz trabajo,nunca fui tan feliz en un trabajo ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.705, NEU: 0.216, NEG: 0.079})"
guia oca,gusto haber sido parte organizacion ojala futuro pueda ser parte,me gusto mucho haber sido parte de la organizacion y ojala en un futuro pueda ser parte de ella ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.918, NEU: 0.076, NEG: 0.006})"
hprcb,agradable experiencia haber participado hprcb periodo practicas atencion recibida primer momento proceso ahora sido excepcional,fue una agradable experiencia el haber participado en hprcb este periodo de practicas la atencion recibida desde el primer momento del proceso hasta ahora ha sido excepcional ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.944, NEU: 0.053, NEG: 0.003})"
concytep,util,muy util,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.511, NEG: 0.319, POS: 0.171})"
slow food,concepto basa organizacion promueve uso conocimiento alimentos ido perdiendo tiempo agrado ser parte proyecto trabajamos considero difundir cultura gastronomica nativa esencial reforzar identidad mexicana,el concepto en el que se basa la organizacion promueve el uso y el conocimiento de alimentos que se han ido perdiendo con el tiempo es por eso que me agrado ser parte del proyecto en el que trabajamos considero que difundir la cultura gastronomica nativa es esencial para reforzar la identidad mexicana ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.504, NEU: 0.441, NEG: 0.055})"
a mentors,buena organizacion empresa crecimiento metas objetivos largo plazo,muy buena organizacion una empresa que esta en crecimiento y que tiene metas y objetivos a largo plazo,positive,"AnalyzerOutput(output=POS, probas={POS: 0.818, NEU: 0.174, NEG: 0.008})"
de boda mx,considero falto organizacion comunicacion organizacion debido veces seguro actividades correspondian,considero que falto organizacion y comunicacion entre la organizacion y yo debido a que algunas veces no estaba seguro de las actividades que me correspondian,neutral,"AnalyzerOutput(output=NEG, probas={NEG: 0.594, NEU: 0.384, POS: 0.022})"
tv azteca puebla,universidad vea solucion realizar nuevo contrato empresa estancia interrumpida llegar acuerdo pues servidor si queria continuar periodo meses solo mes,que la universidad vea la solucion de realizar un nuevo contrato con la empresa no estancia fue interrumpida por no llegar a un acuerdo y pues un servidor si queria continuar su periodo de  meses y no solo  mes,positive,"AnalyzerOutput(output=NEG, probas={NEG: 0.563, NEU: 0.426, POS: 0.011})"
grupo oro comunicaciones,gusto padre experiencia,me gusto mucho muy padre experiencia ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.927, NEU: 0.064, NEG: 0.010})"
grupo oro comunicaciones,diverti aprendi bastante trataron excelentemente bien estableci relaciones incluiran proyectos proximamente,me diverti mucho aprendi bastante todos me trataron excelentemente bien y estableci relaciones que me incluiran en proyectos proximamente,positive,"AnalyzerOutput(output=POS, probas={POS: 0.953, NEU: 0.042, NEG: 0.005})"
monstruo canela,falta mejorar comunicacion practicantes considerar tiempo tareas tiempo horas dia,le falta mejorar la comunicacion con sus practicantes y considerar el tiempo de las tareas con el tiempo de horas por dia ,neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.570, NEG: 0.405, POS: 0.025})"
gwpr,gwpr dio oportunidad tener mejor experiencia practicas dada experiencia organizacion anterior siempre estare agradecida atenciones apoyo incondicional,gwpr me dio la oportunidad de tener una mejor experiencia en practicas dada la experiencia que tuve con una organizacion anterior y siempre estare agradecida por sus atenciones y apoyo incondicional,positive,"AnalyzerOutput(output=POS, probas={POS: 0.849, NEU: 0.144, NEG: 0.007})"
esparragoza ramirez  asociados,excelente aprendi practicas despacho,excelente aprendi mucho durante mis practicas en el despacho ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.940, NEU: 0.055, NEG: 0.005})"
rivadeneyra trevino  de campo,excelente lugar continuar adquiriendo conocimientos,es un excelente lugar para continuar adquiriendo conocimientos ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.961, NEU: 0.037, NEG: 0.003})"
camara de diputados y senadores  comision de justicia,buena institucion hacer practicas,buena institucion para hacer practicas ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.875, NEU: 0.114, NEG: 0.010})"
poder judicial del estado de puebla,aprendi bastantes practicas recomiendo cien ciento poder judicial,aprendi bastantes en mis practicas  recomiendo cien por ciento el poder judicial ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.710, POS: 0.204, NEG: 0.086})"
cetina  jimenez sc,excelente experiencia,excelente experiencia ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.754, NEU: 0.215, NEG: 0.031})"
h congreso del estado de puebla,excelente ambiente trabajo gente amable siempre recibi apoyo actividades senti perdido,excelente ambiente de trabajo la gente es muy amable y siempre recibi apoyo en las actividades donde me senti un poco perdido,positive,"AnalyzerOutput(output=POS, probas={POS: 0.947, NEU: 0.048, NEG: 0.005})"
poder judicial del estado de puebla,considero estancia poder judicial excelente aprendi demasiadas cosas realmente encanto ambiente laboral nadie nunca puso mala cara siempre apoyaron aprendizaje realmente agradezco pues hizo dias mucha actitud entusiasmo realizar practicas,considero que mi estancia en el poder judicial fue excelente aprendi demasiadas cosas y algo que realmente me encanto fue el ambiente laboral nadie nunca me puso una mala cara siempre me apoyaron en mi aprendizaje y es algo que realmente agradezco pues eso hizo que todos los dias fuera con mucha actitud y entusiasmo a realizar mis practicas,positive,"AnalyzerOutput(output=POS, probas={POS: 0.963, NEU: 0.034, NEG: 0.004})"
jueza adriana carmona,excelente lugar hacer practicas permitio adquirir innumerables conocimientos relacionados carrera especifico juicio amparo,excelente lugar para hacer mis practicas me permitio adquirir innumerables conocimientos relacionados con mi carrera y en especifico con el juicio de amparo ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.887, NEU: 0.108, NEG: 0.005})"
h congreso del estado de puebla,aprendizaje cosas nuevas muchas veces ensenan teorico,mucho aprendizaje y cosas nuevas que muchas veces no se ensenan en lo teorico ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.551, POS: 0.406, NEG: 0.042})"
cetina  jimenez sc,excelente lugar trabajo aprender nuevos conocimientos carrera vez solidificar aquello aprendido tiempo universitario,un excelente lugar de trabajo para aprender nuevos conocimientos de mi carrera y a la vez solidificar todo aquello aprendido en mi tiempo universitario,positive,"AnalyzerOutput(output=POS, probas={POS: 0.922, NEU: 0.074, NEG: 0.004})"
poder judicial del estado de puebla,satisfecho haber realizado practicas organizacion,estoy muy satisfecho de haber realizado mis practicas en esta organizacion ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.915, NEU: 0.080, NEG: 0.005})"
cajanautacom,mejor lugar trabajar increible lugar trabajo capacitaciones personal increible verdad,el mejor lugar para trabajar tienen un increible lugar de trabajo capacitaciones y personal increible de verdad ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.931, NEU: 0.064, NEG: 0.005})"
fundacion ronald macdonald,fundacion brindo flexibilidad horarios considerando condiciones pais siempre cumpliera horas debidas trabajo calidad efectuo manera satisfactoria inconvenientes exceptuando ambiente laboral dinamica trabajo pues carencia areas atencion dentro fundacion exige mas debido personal incluidos servicio social iniciamos capacitacion previa considero necesaria considerando area psicologia ademas existe poca casi nula supervision retroalimentacion parte responsables toco bajo mando asistente responsable habitualmente solia brindarme feedback comunicaba actitud negativa pese aprendi demasiado gracias esfuerzo personal recomiendo fundacion escenario aprendizaje,"la fundacion me brindo flexibilidad en horarios considerando las condiciones del pais siempre y cuando yo cumpliera con las horas debidas y un trabajo de calidad esto se efectuo de manera satisfactoria no hubo inconvenientes exceptuando el ambiente laboral y la dinamica de trabajo pues la carencia de areas de atencion dentro de la fundacion exige mucho mas de lo debido al personal incluidos los del servicio social que iniciamos sin capacitacion previa la cual considero necesaria considerando el area en la que estamos psicologia
ademas existe muy poca casi nula supervision y retroalimentacion por parte de nuestros responsables a mi me toco estar bajo el mando de la asistente de la responsable y habitualmente cuando ella solia brindarme feedback se me comunicaba con una actitud negativa
pese a que aprendi demasiado gracias a un esfuerzo personal no recomiendo la fundacion como escenario de aprendizaje ",negative,"AnalyzerOutput(output=NEG, probas={NEG: 0.572, NEU: 0.406, POS: 0.022})"
ceap,super recomendada organizacion,super recomendada la organizacion,positive,"AnalyzerOutput(output=POS, probas={POS: 0.952, NEU: 0.044, NEG: 0.003})"
camara de diputados y senadores  comision de justicia,organizacion camara diputados senadores cambio organizacion llama impacto social consultores,mi organizacion no es la camara de diputados y senadores en cambio mi organizacion se llama impacto social consultores,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.744, POS: 0.187, NEG: 0.068})"
fira barcelona,ambiente laboral comodo facil desempenarme posibilidad tener mas responsabilidades largo meses gran experiencia,un ambiente laboral muy comodo en donde me fue facil desempenarme tuve la posibilidad de tener mas responsabilidades a lo largo de los meses y fue una gran experiencia ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.666, NEU: 0.323, NEG: 0.011})"
